iter	Passed	Remaining
0	135	40523
1	298	44475
2	418	41418
3	534	39589
4	653	38535
5	772	37863
6	890	37261
7	1008	36820
8	1206	39000
9	1353	39265
10	1543	40540
11	1844	44264
12	2062	45544
13	2338	47772
14	2589	49204
15	2750	48813
16	2872	47816
17	3204	50207
18	3471	51348
19	3683	51566
20	3791	50373
21	3919	49532
22	4041	48668
23	4144	47664
24	4247	46719
25	4385	46212
26	4488	45378
27	4591	44604
28	4694	43873
29	4817	43358
30	4933	42813
31	5060	42385
32	5167	41813
33	5293	41410
34	5390	40816
35	5488	40248
36	5588	39722
37	5687	39210
38	5786	38725
39	5889	38281
40	6021	38037
41	6160	37845
42	6262	37428
43	6361	37013
44	6460	36612
45	6566	36255
46	6669	35902
47	6840	35912
48	6946	35583
49	7047	35236
50	7144	34880
51	7243	34545
52	7341	34215
53	7446	33923
54	7544	33608
55	7660	33377
56	7759	33080
57	7862	32803
58	7957	32505
59	8073	32293
60	8174	32029
61	8242	31641
62	8344	31392
63	8471	31237
64	8573	30996
65	8673	30752
66	8771	30503
67	8869	30259
68	8980	30064
69	9107	29924
70	9175	29595
71	9273	29367
72	9375	29154
73	9497	29006
74	9560	28682
75	9668	28496
76	9771	28299
77	9869	28088
78	9972	27897
79	10044	27621
80	10153	27452
81	10266	27294
82	10436	27285
83	10540	27103
84	10636	26903
85	10732	26705
86	10833	26523
87	10934	26342
88	11065	26234
89	11169	26062
90	11267	25878
91	11364	25694
92	11464	25517
93	11565	25346
94	11690	25225
95	11796	25066
96	11894	24893
97	12003	24742
98	12105	24577
99	12199	24399
100	12300	24234
101	12399	24069
102	12512	23931
103	12627	23798
104	12727	23637
105	12829	23480
106	12930	23322
107	13035	23173
108	13119	22989
109	13219	22834
110	13318	22677
111	13419	22525
112	13541	22409
113	13684	22327
114	13792	22187
115	13891	22034
116	14006	21906
117	14106	21758
118	14207	21609
119	14355	21532
120	14460	21392
121	14562	21247
122	14661	21097
123	14789	20991
124	14890	20847
125	15024	20747
126	15216	20728
127	15366	20648
128	15488	20531
129	15638	20449
130	15761	20334
131	15896	20231
132	16003	20095
133	16104	19950
134	16148	19737
135	16277	19628
136	16541	19680
137	16789	19709
138	17126	19836
139	17344	19822
140	17489	19722
141	17629	19616
142	17742	19479
143	17854	19342
144	17969	19208
145	18091	19083
146	18224	18968
147	18342	18838
148	18458	18706
149	18569	18569
150	18679	18431
151	18792	18298
152	18909	18167
153	19050	18060
154	19170	17933
155	19279	17796
156	19401	17671
157	19559	17578
158	19683	17455
159	19797	17322
160	19907	17187
161	20032	17064
162	20143	16930
163	20256	16798
164	20375	16670
165	20518	16563
166	20630	16430
167	20743	16298
168	20860	16169
169	20996	16056
170	21106	15922
171	21238	15805
172	21344	15669
173	21461	15541
174	21573	15409
175	21706	15292
176	21831	15170
177	21953	15046
178	22069	14918
179	22173	14782
180	22295	14658
181	22443	14551
182	22561	14424
183	22626	14264
184	22744	14138
185	22859	14010
186	22978	13885
187	23118	13772
188	23240	13649
189	23355	13521
190	23467	13392
191	23583	13265
192	23699	13138
193	23813	13011
194	23951	12897
195	24077	12775
196	24189	12647
197	24306	12521
198	24495	12432
199	24743	12371
200	24887	12257
201	25013	12135
202	25136	12011
203	25254	11884
204	25370	11757
205	25485	11629
206	25607	11504
207	25750	11389
208	25900	11277
209	26035	11158
210	26200	11051
211	26598	11040
212	26749	10925
213	26895	10808
214	27048	10693
215	27198	10577
216	27348	10460
217	27527	10354
218	27694	10243
219	27847	10126
220	28010	10012
221	28157	9893
222	28297	9770
223	28443	9650
224	28609	9536
225	28800	9430
226	28950	9310
227	29107	9191
228	29259	9071
229	29394	8946
230	29541	8823
231	29690	8702
232	29826	8576
233	29992	8459
234	30140	8336
235	30293	8215
236	30443	8092
237	30590	7968
238	30720	7840
239	30848	7712
240	30965	7580
241	31084	7449
242	31199	7318
243	31320	7188
244	31436	7057
245	31551	6925
246	31661	6793
247	31779	6663
248	31895	6532
249	32245	6449
250	32649	6373
251	32864	6259
252	33027	6135
253	33265	6024
254	33545	5919
255	33786	5806
256	34177	5718
257	34504	5617
258	34632	5482
259	34758	5347
260	34889	5213
261	35162	5099
262	35466	4989
263	35588	4852
264	35709	4716
265	35832	4580
266	35953	4443
267	36078	4307
268	36201	4171
269	36325	4036
270	36440	3899
271	36566	3764
272	36685	3628
273	36826	3494
274	36964	3360
275	37087	3224
276	37203	3089
277	37344	2955
278	37488	2821
279	37615	2686
280	37737	2551
281	37864	2416
282	37992	2282
283	38115	2147
284	38233	2012
285	38356	1877
286	38479	1742
287	38598	1608
288	38720	1473
289	38836	1339
290	38968	1205
291	39089	1070
292	39211	936
293	39357	803
294	39482	669
295	39607	535
296	39730	401
297	39856	267
298	39987	133
299	40109	0
