Id,log_bike_count
0,0.9410
1,2.9752
2,3.3911
3,2.8847
4,1.9192
5,1.3835
6,1.2355
7,1.1810
8,1.2560
9,2.4604
10,2.4816
11,2.9666
12,2.9666
13,2.9187
14,2.8384
15,2.6259
16,2.2277
17,2.3111
18,2.3323
19,2.5253
20,3.1084
21,1.2394
22,2.7337
23,1.7416
24,1.8432
25,2.7171
26,0.8488
27,2.9375
28,3.0660
29,3.0284
30,2.8599
31,3.0608
32,1.0077
33,2.6485
34,2.8468
35,2.2577
36,2.8638
37,1.7312
38,2.7335
39,1.9997
40,3.1212
41,2.8963
42,2.8975
43,3.0523
44,1.4678
45,3.3026
46,2.4658
47,3.3026
48,2.9560
49,1.2666
50,3.0109
51,0.9261
52,3.2468
53,2.8846
54,3.2586
55,2.9016
56,3.0630
57,3.0228
58,1.9362
59,3.2772
60,1.4667
61,2.8140
62,1.0044
63,2.0980
64,1.6450
65,1.1029
66,2.6564
67,1.6404
68,2.7851
69,2.6518
70,2.7911
71,2.9453
72,2.9688
73,2.9266
74,2.9688
75,3.0660
76,2.3833
77,3.1252
78,0.8924
79,3.1252
80,2.8411
81,3.2108
82,3.0109
83,2.1063
84,3.2528
85,1.5355
86,3.0081
87,0.9137
88,0.7067
89,1.0351
90,1.4461
91,1.5998
92,2.9033
93,2.8612
94,2.9621
95,3.0702
96,2.9222
97,3.4447
98,2.9560
99,3.4566
100,2.9688
101,3.0093
102,3.0544
103,2.4239
104,3.1184
105,2.8476
106,0.9396
107,3.1212
108,0.8292
109,1.8380
110,1.0901
111,0.6278
112,1.7919
113,0.5338
114,2.2738
115,0.8800
116,2.8581
117,2.8597
118,2.6950
119,2.9097
120,2.6535
121,2.9390
122,0.9747
123,2.9560
124,0.5696
125,3.0109
126,1.8078
127,3.0965
128,2.1828
129,2.6340
130,2.7216
131,0.7377
132,2.4906
133,0.7377
134,0.5926
135,2.8126
136,0.4986
137,2.8081
138,0.7523
139,2.8081
140,2.6923
141,2.7970
142,2.7024
143,1.8478
144,3.2338
145,1.3784
146,3.0381
147,1.0189
148,2.6015
149,0.5686
150,2.6564
151,1.4670
152,2.9498
153,2.9390
154,2.7679
155,2.9560
156,2.7679
157,2.7893
158,2.9694
159,1.9285
160,3.0861
161,1.1845
162,2.8470
163,0.6127
164,2.6881
165,0.6127
166,0.8364
167,0.8936
168,2.9560
169,2.4651
170,3.0109
171,3.1066
172,3.0109
173,3.1184
174,3.2528
175,2.6825
176,2.7654
177,1.7729
178,1.8240
179,1.2825
180,1.3186
181,1.0945
182,0.9591
183,0.7916
184,0.5118
185,0.6870
186,0.5118
187,2.3810
188,1.4102
189,2.5629
190,2.9621
191,2.5629
192,2.9222
193,2.7725
194,2.9488
195,2.6950
196,3.2528
197,2.4637
198,3.2528
199,2.3276
200,2.7654
201,1.8430
202,1.3992
203,1.5673
204,0.5778
205,1.4580
206,0.9365
207,0.8267
208,1.4890
209,0.6753
