Id,log_bike_count
0,0.8708
1,2.8083
2,3.4481
3,2.8878
4,2.1820
5,1.8752
6,1.4513
7,1.0832
8,1.5032
9,2.1859
10,2.3677
11,2.6156
12,2.6467
13,2.7045
14,2.5034
15,2.5838
16,2.2681
17,1.7923
18,2.0508
19,2.2462
20,2.9157
21,1.1520
22,2.2778
23,1.9416
24,1.5375
25,2.6002
26,0.6607
27,3.3232
28,2.7326
29,2.7925
30,2.7511
31,3.0164
32,0.9641
33,2.7927
34,2.6601
35,2.4630
36,2.6910
37,1.8458
38,2.8099
39,1.8554
40,3.2446
41,2.4708
42,2.9855
43,2.8657
44,1.9024
45,3.1724
46,2.5633
47,3.1977
48,2.8197
49,1.7572
50,2.8543
51,1.1014
52,3.3749
53,2.4579
54,3.6515
55,2.5790
56,3.1327
57,2.6797
58,1.9719
59,3.0746
60,1.7903
61,2.4576
62,1.2662
63,2.0903
64,1.8691
65,1.1091
66,2.5301
67,1.9903
68,2.7770
69,2.6273
70,2.7187
71,3.3552
72,2.7398
73,2.7350
74,2.7501
75,2.7603
76,2.4083
77,2.7525
78,0.9481
79,2.7525
80,3.3216
81,2.9678
82,2.8765
83,1.8159
84,3.5959
85,1.2957
86,3.1071
87,0.7462
88,0.7380
89,1.0449
90,1.3633
91,1.8816
92,2.9330
93,3.1614
94,3.1904
95,2.9467
96,2.7880
97,3.5200
98,2.6818
99,3.7565
100,2.5817
101,3.0227
102,2.7562
103,2.8000
104,3.1594
105,2.7862
106,0.9137
107,3.5360
108,0.5881
109,1.7979
110,1.2300
111,0.7765
112,1.5935
113,0.5585
114,2.2433
115,0.9569
116,2.5018
117,3.2974
118,2.6792
119,3.2966
120,2.6977
121,2.7958
122,1.0299
123,2.8543
124,0.5484
125,2.8543
126,1.6357
127,3.0463
128,1.9501
129,2.5382
130,2.4588
131,0.6977
132,1.8680
133,0.6977
134,0.3552
135,3.0753
136,0.2383
137,2.7463
138,0.5914
139,2.7809
140,2.9289
141,2.6922
142,2.7304
143,2.1062
144,3.4018
145,1.9896
146,2.8345
147,1.4222
148,2.1366
149,0.6958
150,2.0628
151,1.9156
152,2.8783
153,2.8042
154,2.4925
155,2.8318
156,2.4995
157,2.6834
158,2.6764
159,2.0320
160,3.1934
161,1.4395
162,2.8348
163,0.3722
164,2.5098
165,0.3722
166,0.6287
167,0.6173
168,2.6732
169,2.0187
170,2.6493
171,2.9581
172,2.6493
173,3.1900
174,3.2919
175,2.5254
176,2.4608
177,1.9550
178,1.8845
179,1.4488
180,1.4017
181,1.0458
182,0.8609
183,0.6523
184,0.2861
185,0.6255
186,0.2861
187,2.3437
188,1.3896
189,2.5049
190,3.2398
191,2.5182
192,2.8142
193,2.3081
194,2.6111
195,2.6824
196,3.3310
197,2.4169
198,3.3166
199,1.9987
200,2.0555
201,2.2315
202,1.4832
203,1.6059
204,0.3395
205,1.2174
206,0.6173
207,0.8607
208,1.3633
209,0.9388
210,2.6171
211,2.0340
212,2.6447
213,2.1103
214,2.6625
215,2.5891
216,2.8311
217,0.2383
218,3.3138
219,3.1883
220,2.8997
221,2.5773
222,1.3319
223,2.5748
224,0.9195
225,3.0461
226,1.5293
227,3.3950
228,2.0243
229,0.2267
230,2.2640
231,0.2267
232,2.6057
233,0.6571
234,2.9810
235,1.3997
236,1.1749
237,3.0508
238,1.7612
239,2.5755
240,2.4131
241,2.5755
242,2.5350
243,2.2452
244,2.6956
245,0.8154
246,2.7344
247,0.9896
248,2.3615
249,0.7143
250,1.9629
251,2.0371
252,1.7534
253,3.1295
254,0.3887
255,3.0373
256,0.2515
257,0.6250
258,0.6220
259,2.9592
260,1.4090
261,2.6386
262,2.0898
263,2.6733
264,3.1891
265,2.6489
266,2.6838
267,1.7566
268,2.4588
269,1.9660
270,2.4827
271,1.0340
272,2.5583
273,0.7053
274,3.3271
275,0.3395
276,2.3975
277,2.0187
278,0.2406
279,3.1904
280,0.2406
281,2.7880
282,2.0167
283,3.2832
284,3.1707
285,2.0813
286,2.5566
287,0.7723
288,2.5468
289,0.5519
290,1.3238
291,1.1977
292,0.8027
293,2.6244
294,0.4557
295,2.6266
296,0.2540
297,2.8068
298,1.3848
299,2.9129
300,2.8939
301,2.9300
302,2.6744
303,2.5320
304,2.6758
305,1.8351
306,2.6758
307,1.4631
308,2.8541
309,1.2627
310,3.0207
311,0.5721
312,3.2949
313,0.4098
314,0.2930
315,2.5279
316,1.2315
317,2.8259
318,1.8818
319,1.5290
320,2.6645
321,0.5252
322,3.1555
323,0.2515
324,2.5916
325,2.5024
326,2.6565
327,2.5583
328,3.0852
329,2.9475
330,3.3230
331,0.6372
332,2.1447
333,2.8901
334,1.4017
335,2.7312
336,0.3162
337,2.7215
338,2.5565
339,3.0459
340,2.6187
341,2.8777
342,2.6528
343,2.4190
344,3.2852
345,2.1202
346,2.2401
347,1.8717
348,2.3592
349,0.2540
350,2.0645
351,2.0187
352,2.5622
353,3.2805
354,2.7463
355,2.8816
356,2.1466
357,2.1586
358,2.0190
359,0.2930
360,1.1020
361,2.5640
362,1.8855
363,2.6262
364,2.2263
365,2.6565
366,2.5197
367,2.8290
368,2.5406
369,3.3374
370,2.7012
371,2.8650
372,1.5290
373,2.4409
374,2.5413
375,1.8915
376,2.5689
377,0.9525
378,3.0092
379,0.6821
380,2.3679
381,0.4734
382,2.0473
383,1.2194
384,1.9114
385,2.7695
386,2.7438
387,2.6528
388,2.8310
389,3.0872
390,3.3158
391,2.9439
392,1.9754
393,1.4945
394,0.9743
395,1.1399
396,1.4880
397,2.9071
398,2.9313
399,1.2484
400,0.8947
401,1.1145
402,1.4744
403,2.4021
404,2.5169
405,2.5233
406,2.7878
407,2.7892
408,2.6601
409,2.2860
410,1.9218
411,0.3443
412,0.2071
413,0.6246
414,1.4116
415,2.0455
416,0.8708
417,3.3103
418,2.8148
419,2.7383
420,2.7658
421,2.7980
422,3.3749
423,3.5431
424,3.1278
425,1.3606
426,2.4547
427,2.5565
428,2.5978
429,3.2534
430,1.9845
431,1.8778
432,1.3636
433,1.0061
434,1.3081
435,1.3292
436,2.5727
437,2.6589
438,3.0957
439,3.0183
440,2.3572
