Id,log_bike_count
0,1.0166
1,2.9197
2,3.6926
3,2.6374
4,2.1330
5,1.8713
6,1.4809
7,1.3310
8,1.3139
9,1.9679
10,2.2375
11,2.8061
12,2.9233
13,2.8349
14,2.5205
15,2.3394
16,2.2291
17,1.8382
18,2.1220
19,2.3606
20,2.9649
21,1.0450
22,2.3170
23,1.5937
24,1.7081
25,2.6721
26,0.6080
27,3.3248
28,2.7905
29,2.9329
30,2.3322
31,3.1646
32,0.9534
33,2.4331
34,2.5142
35,2.3091
36,2.6626
37,1.7634
38,2.2221
39,1.6369
40,3.2940
41,2.6723
42,3.0944
43,3.0444
44,1.5642
45,3.2186
46,2.6358
47,3.2403
48,2.6693
49,1.6464
50,2.8834
51,1.1266
52,3.4611
53,2.5400
54,3.8440
55,2.6347
56,3.2402
57,2.8374
58,2.0696
59,3.0766
60,1.6802
61,2.6577
62,1.2479
63,1.9213
64,1.4394
65,0.9408
66,2.5791
67,1.5515
68,2.6327
69,2.7012
70,2.6331
71,3.4935
72,2.8012
73,2.7844
74,2.8242
75,2.8238
76,2.3182
77,2.8886
78,1.0600
79,2.9458
80,3.4267
81,3.2016
82,2.8968
83,1.8259
84,3.7990
85,1.3553
86,3.2600
87,0.6604
88,0.9588
89,0.9372
90,1.2068
91,1.5026
92,3.0220
93,3.3029
94,3.1928
95,2.7988
96,2.8725
97,3.4408
98,2.7644
99,3.7874
100,2.8194
101,3.0204
102,3.0284
103,2.1645
104,3.4546
105,2.9029
106,1.2343
107,3.6842
108,0.9345
109,1.8665
110,0.9452
111,0.7966
112,1.2652
113,0.6202
114,2.0927
115,0.9999
116,2.8371
117,3.4983
118,2.7104
119,3.3863
120,2.5785
121,2.5363
122,1.0386
123,2.6984
124,0.5618
125,2.8226
126,1.5030
127,3.1260
128,2.1195
129,2.3282
130,2.2596
131,0.6614
132,1.8430
133,0.6310
134,0.4362
135,3.1204
136,0.2808
137,2.7649
138,0.5982
139,2.7905
140,2.7958
141,2.6829
142,2.7457
143,2.1578
144,3.5819
145,1.8112
146,3.0217
147,1.3470
148,1.8507
149,0.6290
150,2.1146
151,1.6061
152,3.0642
153,2.6639
154,2.5144
155,2.8030
156,2.5505
157,2.6683
158,2.7593
159,2.2092
160,3.3949
161,1.4355
162,2.9108
163,0.6876
