Id,log_bike_count
0,1.0958
1,2.7011
2,3.3421
3,2.5970
4,2.2334
5,1.8340
6,1.4291
7,1.0159
8,1.0952
9,2.0223
10,2.2196
11,2.5861
12,2.6521
13,2.4311
14,2.4713
15,2.2056
16,2.2915
17,1.8239
18,2.0617
19,2.2230
20,2.7247
21,0.9939
22,2.2772
23,1.5722
24,1.7416
25,2.3759
26,0.6326
27,2.9122
28,2.5582
29,2.7136
30,2.2925
31,2.8162
32,0.9115
33,2.3814
34,2.3783
35,2.3412
36,2.5467
37,1.8804
38,2.4350
39,1.4155
40,3.1781
41,2.4663
42,2.6911
43,2.7763
44,1.5218
45,3.0460
46,2.4050
47,3.0080
48,2.6537
49,1.5628
50,2.6758
51,0.8103
52,3.1952
53,2.3139
54,3.5708
55,2.4792
56,2.9088
57,2.5642
58,1.7800
59,2.8810
60,1.2883
61,2.2047
62,1.2037
63,1.8852
64,1.3703
65,0.8989
66,2.2694
67,1.4877
68,2.3495
69,2.4570
70,2.6078
71,3.1544
72,2.5583
73,2.4842
74,2.5621
75,2.5479
76,2.5319
77,2.5710
78,1.0154
79,2.5904
80,2.9921
81,2.7784
82,2.8410
83,1.7790
84,3.5896
85,1.2723
86,2.9921
87,0.6359
88,0.8686
89,0.9923
90,1.1234
91,1.5862
92,2.7212
93,3.0510
94,2.7831
95,2.6934
96,2.5136
97,3.2882
98,2.6451
99,3.4548
100,2.5970
101,2.8500
102,2.7438
103,2.4370
104,2.9834
105,2.6145
106,0.8841
107,3.4885
108,0.6390
109,1.7794
110,0.8178
111,0.8920
112,1.2521
113,0.7437
114,1.8703
115,0.9211
116,2.6346
117,3.1979
118,2.6496
119,3.0897
120,2.5803
121,2.5159
122,0.9062
123,2.6431
124,0.2167
125,2.6621
126,1.6571
127,2.8288
128,2.1668
129,2.1734
130,2.3343
131,0.6734
132,1.9321
133,0.6268
134,0.3206
135,2.7441
136,0.2210
137,2.7978
138,0.4620
139,2.8088
140,2.8525
141,2.8292
142,2.6150
143,1.6199
144,3.4246
145,1.2326
146,2.6656
147,1.2401
148,1.6942
149,0.6458
150,2.0847
151,1.5424
152,2.9590
153,2.6006
154,2.4405
155,2.7491
156,2.4435
157,2.6614
158,2.6735
159,2.0118
160,3.3218
161,1.6088
162,2.6143
163,0.5798
164,2.0554
165,0.5252
166,0.8173
167,0.6354
168,2.7170
169,2.0437
170,2.6547
